"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"1102-mel","CVCL_8030","1102-MEL; 1102 mel; 1102mel; 1102; Mel-1102; MEL1102","Cancer cell line","NCIt; C3224; Melanoma","","GSM218054",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1174","CVCL_DI59","","Cancer cell line","NCIt; C3230; Meningioma|ORDO; Orphanet_2495; Meningioma","","GSM560316",NA,NA
"1182-mel","CVCL_8032","1182-MEL; 1182 mel; 1182","Cancer cell line","NCIt; C3224; Melanoma","","GSM218058|GSM1092562",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1195-mel","CVCL_8033","1195-MEL; 1195 mel; 1195","Cancer cell line","NCIt; C3224; Melanoma","","GSM218057",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1205Lu","CVCL_5239","1205-Lu; 1205 Lu; WM 1205LU; WM-1205LU; WM1205Lu; WM1205; LU1205; Lu1205; WC00058","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM109020|GSM109021|GSM188067|GSM188119|GSM188192|GSM188207|GSM188218|GSM188283|GSM188292|GSM952578",NA,"Transcriptome analysis by microarray|Deep proteome analysis|Exosome proteome analysis"
"1290-mel","CVCL_7943","1290-MEL; 1290 mel; 1290; MG-1290; 1290-MEL p14; 1290p14","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218047|GSM218048|GSM1092557",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1321N1","CVCL_0110","1321-N1; 1321 N1","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM827421|GSM886835|GSM887898|GSM1374373|GSM3034453|GSM3034454|GSM3034455|GSM3034456|GSM3034457|GSM3034458",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis"
"1321N1 MRTFA KO","CVCL_C3IQ","1321N1-MRTFA KO","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM3034465|GSM3034466|GSM3034467|GSM3034468|GSM3034469|GSM3034470",NA,"Transcriptome analysis by RNAseq"
"1321N1 RHOA KO","CVCL_C3IR","1321N1-Rho KO","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM3034471|GSM3034472",NA,"Transcriptome analysis by RNAseq"
"1321N1 YAP1 KO","CVCL_C3IS","1321N1-YAP KO","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM3034459|GSM3034460|GSM3034461|GSM3034462|GSM3034463|GSM3034464",NA,"Transcriptome analysis by RNAseq"
"143B","CVCL_2270","143b; 143 B; 143B TK-; 143B.TK-; 143BTK-; 143TK-; HOS-143B; HOS-143b; GM05887; GM05887A","Cancer cell line","NCIt; C9145; Osteosarcoma|ORDO; Orphanet_668; Osteosarcoma","","GSM320829|GSM879206|GSM886836|GSM887899|GSM1914980|GSM1914981|GSM1914982|GSM1914983|GSM1915018|GSM1915019|GSM1915020|GSM1915021|GSM1915022|GSM2635309|GSM2635310",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis"
"1858-mel a","CVCL_DI11","1858-MEL a; 1858-MEL a (Fragment)","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218060",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1858-mel b","CVCL_DI12","1858-MEL b; 1858-MEL b (Medimachine)","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218050",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1858-mel c","CVCL_DI13","1858-MEL c; 1858-MEL c (Wash)","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218059",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1936-mel","CVCL_DI14","1936-MEL; 1936-MEL (Medimachine); MG-1936","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI15 ! 1962-mel","GSM218049",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1962-mel","CVCL_DI15","1962-MEL; MG-1962","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_7943 ! 1290-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel","GSM218045",NA,"Array-based CGH|Transcriptome analysis by microarray"
"1A9/T80","CVCL_CZ93","1A9 T80; 1A9T80","Cancer cell line","NCIt; C7979; Ovarian endometrioid adenocarcinoma|ORDO; Orphanet_454723; Endometrioid carcinoma of ovary","","GSM95438",NA,NA
"2004","CVCL_U759","","Cancer cell line","NCIt; C8715; Rhabdoid tumor of the kidney|ORDO; Orphanet_69077; Rhabdoid tumor","","GSM3145685",NA,NA
"2008/C13*5.25","CVCL_0114","2008/C13_5_25; 2008/c13*5.25; OV 2008/C13*5.25; OV2008/C13; 2008C13; 2008 C-13; C13; 2008/C13.R; ME180C13","Cancer cell line","NCIt; C27676; Human papillomavirus-related cervical squamous cell carcinoma|ORDO; Orphanet_213767; Squamous cell carcinoma of the cervix uteri","","GSM711717|GSM851911",NA,"Transcriptome analysis by microarray|Deep proteome analysis"
"201T","CVCL_X481","","Cancer cell line","NCIt; C3512; Lung adenocarcinoma","","GSM827492|GSM1669564",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"21MT-1","CVCL_7931","21-MT-1; 21MT1","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7932 ! 21MT-2|CVCL_7933 ! 21NT|CVCL_7934 ! 21PT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172934|GSM1172846|GSM3145686",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"21MT-2","CVCL_7932","21-MT-2; 21MT2","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7931 ! 21MT-1|CVCL_7933 ! 21NT|CVCL_7934 ! 21PT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172935|GSM1172847|GSM3145687",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"21NT","CVCL_7933","21 NT","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7931 ! 21MT-1|CVCL_7932 ! 21MT-2|CVCL_7934 ! 21PT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172936|GSM1172848|GSM1664566|GSM3145688",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"21PT","CVCL_7934","21 PT","Cancer cell line","NCIt; C4872; Breast carcinoma","CVCL_7931 ! 21MT-1|CVCL_7932 ! 21MT-2|CVCL_7933 ! 21NT|CVCL_IP81 ! H16F1|CVCL_IP82 ! H16N-2|CVCL_IP83 ! H16N-3","GSM1172937|GSM1172849|GSM3145689",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"22Rv1","CVCL_1045","22RV1; 22Rv-1; 22rV1; CWR-22rv1; CWR22-Rv1; CWR22R-V1; CWR22-R1; CWR22Rv1; CWR22R","Cancer cell line","NCIt; C4863; Prostate carcinoma","","GSM91926|GSM525793|GSM648815|GSM827396|GSM886837|GSM887900|GSM1374375|GSM1633317|GSM1633318|GSM1633319|GSM1669565|GSM3145703","ENCBS070BKF|ENCBS383WOY|ENCBS596KKM|ENCBS626QQL|ENCBS737IZN|ENCBS822DIG","Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis|shRNA library screening"
"22Rv1-SL","CVCL_WZ28","Stem-Like 22Rv1; 22Rv1-Stem Like","Cancer cell line","NCIt; C4863; Prostate carcinoma","","GSM1633320|GSM1633321|GSM1633322",NA,"Transcriptome analysis by microarray"
"23132/87","CVCL_1046","23132-87; 2313287; St 23132; St23132; 23132","Cancer cell line","NCIt; C4004; Gastric adenocarcinoma","","GSM827572|GSM886838|GSM887901|GSM1374371|GSM1374372|GSM1669566",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"253J","CVCL_7935","253j; 253-J; 253 J; 253J-P; 253J-Parental; 253J P; 253JP","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136240|GSM1574546|GSM1574574",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis"
"253J-BV","CVCL_7937","253JB-V; 253J B-V; 253JBV; 253J-Bladder-V","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136239",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|Deep exome analysis"
"273T","CVCL_X482","","Cancer cell line","NCIt; C3493; Lung squamous cell carcinoma","","GSM784285|GSM827491",NA,"SNP array analysis"
"2LMP","CVCL_EQ20","2-LMP","Cancer cell line","NCIt; C5214; Breast adenocarcinoma","","GSM1401670",NA,"Transcriptome analysis by RNAseq"
"380","CVCL_1047","","Cancer cell line","NCIt; C9140; Childhood B acute lymphoblastic leukemia|ORDO; Orphanet_99860; Precursor B-cell acute lymphoblastic leukemia","","GSM119536|GSM236776|GSM236812|GSM1035325|GSM5137703",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep quantitative proteome analysis"
"41M","CVCL_4993","41-M; OAW41M; 041M; 41 M","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM313659|GSM851922",NA,"Transcriptome analysis by microarray"
"41M-cisR","CVCL_N788","41M/cisR; 41McisR","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM851923",NA,"Transcriptome analysis by microarray"
"42-MG-BA","CVCL_1798","42MGBA","Cancer cell line","NCIt; C3058; Glioblastoma|ORDO; Orphanet_360; Glioblastoma","","GSM326214|GSM886839|GSM887902|GSM1669567",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"451Lu","CVCL_6357","451LU; 451-LU; WM 451-Lu; WM-451Lu; WM-451LU; WM451Lu; WM451; WC00059; LU451; Lu451; EST81","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM156019|GSM188238|GSM188268|GSM188327|GSM555137|GSM555187|GSM952579|GSM1199178|GSM1669568",NA,"Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"451Lu-MR","CVCL_DG54","","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM1199179",NA,NA
"501-mel","CVCL_4633","501-MEL; 501 mel; 501 Mel; 501Mel; 501mel; 501MEL; 501; Mel 501; Mel501; MEL501; Me 501; Me-501; Me501","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DM ! 501-EBV","GSM188239|GSM188269|GSM188328|GSM433918|GSM555120|GSM555174",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Exosome proteome analysis"
"518A2","CVCL_UM77","518.A2","Cancer cell line","NCIt; C3224; Melanoma","CVCL_UM89 ! 518A1|CVCL_UM90 ! 518B","GSM1507935",NA,"Transcriptome analysis by RNAseq"
"526-mel","CVCL_8051","526-MEL; 526 mel; 526mel; 526MEL; 526; MEL-526; Mel526; MEL526","Cancer cell line","NCIt; C3224; Melanoma","","GSM206440|GSM218052",NA,"Array-based CGH|Transcriptome analysis by microarray|Proteome analysis by 2D-DE/MS"
"537-mel","CVCL_8052","537-MEL; 537 mel; 537 MEL; 537mel; 537MEL; 537; Mel537","Cancer cell line","NCIt; C3224; Melanoma","CVCL_WL47 ! 537-EBV","GSM274694",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"5637","CVCL_0126","","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136228|GSM142303|GSM142309|GSM886840|GSM887903|GSM1374370|GSM1574578|GSM1669563",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Deep quantitative proteome analysis|GPI-anchored proteins analysis by proteomics"
"5637 subclone 1A6","CVCL_6344","5637 (subclone 1A6); 1A6","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136246|GSM827286|GSM1374374",NA,"Transcriptome analysis by microarray|SNP array analysis"
"575A","CVCL_7941","","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM136251|GSM1574575",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis"
"59M","CVCL_2291","OAW59M; OAW 59M; 59 M","Cancer cell line","NCIt; C105555; High grade ovarian serous adenocarcinoma","","GSM313717|GSM887904|GSM1291125|GSM1374376",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Deep proteome analysis|Protein expression by reverse-phase protein arrays"
"600MPE","CVCL_9875","600 MPE; 600-MPE; MPE-600; MPE 600; MPE600; 600PE; 600-PEI","Cancer cell line","NCIt; C4194; Invasive breast carcinoma of no special type","","GSM814|GSM320174|GSM421881|GSM1053688|GSM1172938|GSM1172850|GSM1661985",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|miRNA expression profiling"
"60905OM","CVCL_4065","609050M","Cancer cell line","NCIt; C4908; Ovarian carcinoma","","GSM2474970",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray"
"624-mel","CVCL_8054","624-MEL; 624 MEL; 624 Mel; 624 mel; 624mel; 624MEL; 624; Mel-624; Mel624; MEL624","Cancer cell line","NCIt; C3224; Melanoma","","GSM206438|GSM274692",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|HLA class I peptidome analysis by proteomics"
"624.28 Mel","CVCL_C586","624.28-MEL; Mel-624.28; Me 624.28; 624.28; 624-28","Cancer cell line","NCIt; C3224; Melanoma","","GSM218053|GSM1092560",NA,"Array-based CGH|Transcriptome analysis by microarray"
"624.38 Mel","CVCL_C588","624.38-MEL; Mel-624.38; Me624.38; Mel624.38; 624.38; 624-38","Cancer cell line","NCIt; C3224; Melanoma","","GSM218056",NA,"Array-based CGH|Transcriptome analysis by microarray"
"639V","CVCL_1048","639v; 639-V; 639 V","Cancer cell line","NCIt; C4830; Ureter urothelial carcinoma|ORDO; Orphanet_598216; Upper tract urothelial carcinoma","","GSM827155|GSM886841|GSM887905|GSM1567846|GSM1574552|GSM1574584|GSM1669569",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"647V","CVCL_1049","647-V; 647 V","Cancer cell line","NCIt; C4912; Bladder carcinoma","","GSM827156|GSM886842|GSM887906|GSM1374377|GSM1669570",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis"
"697","CVCL_0079","Line 697; EU-3; Emory University-3","Cancer cell line","NCIt; C9140; Childhood B acute lymphoblastic leukemia|NCIt; C80347; B acute lymphoblastic leukemia with t(1;19)(q23;p13.3) E2A-PBX1 (TCF3-PBX1)|ORDO; Orphanet_585956; B-lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3)","","GSM236777|GSM236813|GSM886843|GSM887907|GSM1669562|GSM5137704|GSM5137749",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Deep quantitative proteome analysis|shRNA library screening"
"769-P","CVCL_1050","769P; 769-p","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM374479|GSM827256|GSM886844|GSM887908|GSM1669571",NA,"Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|CRISPR phenotypic screen|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis"
"786-M1A","CVCL_VR30","","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM800328",NA,NA
"786-M1B","CVCL_VR31","","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM800329",NA,NA
"786-M2A","CVCL_VR32","","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM800330",NA,NA
"786-M2B","CVCL_VR33","","Cancer cell line","NCIt; C9385; Renal cell carcinoma|ORDO; Orphanet_217071; Renal cell carcinoma","","GSM800331",NA,NA
