"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"AND-1","CVCL_B526","AND1; GRA-1; ESe029-A","Embryonic stem cell","","","GSM569197|GSM569198",NA,"Transcriptome analysis by microarray"
"BG01","CVCL_9726","hESBGN-01; HESBGN-01; BGN-01; BGO1; VIACe001-A; BresaGen 01","Embryonic stem cell","","","GSM383872|GSM384094|GSM500932|GSM856719|GSM862730|GSM1272755|GSM1272756|GSM1272757|GSM1272758|GSM1272759|GSM1272760","ENCBS742FEC","Transcriptome analysis by microarray|H3K4me3 ChIP-seq epigenome analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis|Transcriptome analysis by serial analysis of gene expression (SAGE)"
"BG02","CVCL_9729","BG02ES; hESBGN-02; HESBGN-02; BGN-02; VIACe002-A; BresaGen 02","Embryonic stem cell","","","GSM472944|GSM500933|GSM500934|GSM856720|GSM862731|GSM923453","ENCBS274AAA|ENCBS275AAA|ENCBS276AAA|ENCBS277AAA|ENCBS278AAA|ENCBS279AAA|ENCBS280AAA|ENCBS281AAA","Transcriptome analysis by microarray|Transcriptome analysis by massively parallel signature sequencing (MPSS)"
"BG03","CVCL_9730","hESBGN-03; HESBGN-03; BGN-03; VIACe003-A; BresaGen 03","Embryonic stem cell","","","GSM856721|GSM862729",NA,"Transcriptome analysis by microarray"
"CHA-hES15","CVCL_9741","CHA-hES 15; Kor-hES30","Embryonic stem cell","","","GSM4972447",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis"
"CHA-NTK6","CVCL_B5RM","NTK-ESC #6; NT assisted by KDM4A-ESC #6; CHA-NT #6; CHA-hES NT6; CHAHESe001-A","Embryonic stem cell","NCIt; C84391; Age-related macular degeneration","","GSM1891813|GSM1891814",NA,"Transcriptome analysis by RNAseq"
"CHA-NTK7","CVCL_B5RN","NTK-ESC #7; NT assisted by KDM4A-ESC #7; CHA-NT #7","Embryonic stem cell","NCIt; C84391; Age-related macular degeneration","","GSM1891815|GSM1891816",NA,"Transcriptome analysis by RNAseq"
"CHA-NTK8","CVCL_B5RP","NTK-ESC #8; NT assisted by KDM4A-ESC #8; CHA-NT #8","Embryonic stem cell","NCIt; C84391; Age-related macular degeneration","CVCL_B5RR ! CHA-NTK9","GSM1891817|GSM1891818",NA,"Transcriptome analysis by RNAseq"
"CSES1","CVCL_B812","Cedars Sinai Embryonic Stem cell 1","Embryonic stem cell","","","GSM540748",NA,NA
"CSES12","CVCL_B823","Cedars Sinai Embryonic Stem cell 12","Embryonic stem cell","","","GSM1576685",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
