"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"184","CVCL_K049","HMEC-184; HMEC 184; HMEC184","Finite cell line","","","GSM200748|GSM200749|GSM200754|GSM200755|GSM200756|GSM200757",NA,"Transcriptome analysis by microarray"
"5175","CVCL_EQ44","","Finite cell line","NCIt; C98994; NADH dehydrogenase deficiency|ORDO; Orphanet_2609; Isolated complex I deficiency","","GSM666034|GSM666035",NA,"Transcriptome analysis by microarray"
"6613","CVCL_EQ45","6603","Finite cell line","NCIt; C98994; NADH dehydrogenase deficiency|ORDO; Orphanet_2609; Isolated complex I deficiency","","GSM666036|GSM666037",NA,"Transcriptome analysis by microarray"
"76N","CVCL_A5AG","","Finite cell line","","","GSM324070|GSM324071|GSM324072",NA,"Transcriptome analysis by microarray"
"7898","CVCL_EQ46","5260","Finite cell line","NCIt; C98994; NADH dehydrogenase deficiency|ORDO; Orphanet_2609; Isolated complex I deficiency","","GSM666038|GSM666039",NA,"Transcriptome analysis by microarray"
"8328","CVCL_EQ47","","Finite cell line","NCIt; C98994; NADH dehydrogenase deficiency|ORDO; Orphanet_2609; Isolated complex I deficiency","","GSM666040|GSM666041",NA,"Transcriptome analysis by microarray"
"8807","CVCL_EQ48","7276","Finite cell line","NCIt; C98994; NADH dehydrogenase deficiency|ORDO; Orphanet_2609; Isolated complex I deficiency","","GSM666042|GSM666043",NA,"Transcriptome analysis by microarray"
"90196B","CVCL_6362","","Finite cell line","","","GSE27071",NA,"Transcriptome analysis by microarray"
"AG00780","CVCL_U282","AG 780; AG780; AG00780F; GM00780; GM-780; GM 780; GM780","Finite cell line","NCIt; C3447; Werner syndrome|ORDO; Orphanet_902; Werner syndrome","","GSM1184264|GSM1184265|GSM1535458|GSM1535467",NA,"Transcriptome analysis by microarray|miRNA expression profiling"
"AG01518","CVCL_F696","AG-1518; AG 1518; AG1518; AG01518B; AG01518C","Finite cell line","","","GSE14256|GSM158559|GSM158560|GSM158561",NA,"Transcriptome analysis by microarray"
"AG01522","CVCL_H759","AG-1522; AG 1522; AG1522; AG01522B; AGO 1522; AGO1522; AG1522D; 1522","Finite cell line","","","GSE93860|GSM520723|GSM520724|GSM520725|GSM520726|GSM520727|GSM520728|GSM520729|GSM520730|GSM520731|GSM520732",NA,NA
"AG03141","CVCL_X767","AG 3141; AG3141; AG03141A; AG03141B","Finite cell line","NCIt; C3447; Werner syndrome|ORDO; Orphanet_902; Werner syndrome","","GSM1184266|GSM1184267|GSM1535462|GSM1535470",NA,"Transcriptome analysis by microarray|miRNA expression profiling"
"AG04054","CVCL_2A41","AG 4054; AG04054A; AG04054B; GRC#0173","Finite cell line","","CVCL_2E07 ! AG11557|CVCL_2G15 ! AG13442","GSM244109|GSM244110|GSM476002|GSM3124568",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray"
"AG04059","CVCL_L623","AG-4059; AG 4059; AG04059B; GRC#0179","Finite cell line","","","GSM3124624",NA,"Transcriptome analysis by RNAseq"
"AG04063","CVCL_2A48","GRC#0211","Finite cell line","","","GSM3124584",NA,"Transcriptome analysis by RNAseq"
"AG04064","CVCL_L624","AG04064A; GRC#0189","Finite cell line","","CVCL_L625 ! AG08433","GSM244111|GSM244112|GSM3124676",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray"
"AG04065","CVCL_2A49","AG04065C; AG04065D; GRC#0191","Finite cell line","","","GSM3124619",NA,"Transcriptome analysis by RNAseq"
"AG04110","CVCL_U311","","Finite cell line","NCIt; C3447; Werner syndrome|ORDO; Orphanet_79474; Atypical Werner syndrome","","GSM1535463|GSM1535468",NA,"Transcriptome analysis by microarray|miRNA expression profiling"
"AG04143","CVCL_2A51","","Finite cell line","","","GSM3124613",NA,"Transcriptome analysis by RNAseq"
"AG04147","CVCL_2A54","AG 4147; GRC#0161","Finite cell line","","","GSM426260",NA,"Transcriptome analysis by microarray"
"AG04351","CVCL_2A64","GRC#0163","Finite cell line","","","GSM426261",NA,"Transcriptome analysis by microarray"
"AG04386","CVCL_2A79","GRC#0233","Finite cell line","","","GSM3124602",NA,"Transcriptome analysis by RNAseq"
"AG04446","CVCL_2A88","AG_04446; GRC#0246","Finite cell line","","CVCL_2E80 ! AG12851","GSM6347|GSM6386",NA,"Transcriptome analysis by microarray"
"AG04449","CVCL_F485","","Finite cell line","","CVCL_F486 ! AG04450","GSM510528|GSM510530|GSM749678|GSM749695|GSM749702|GSM945187|GSM945176","ENCBS003ENC|ENCBS338DRP|ENCBS667XPG|ENCBS747YUA","H3K4me3 ChIP-seq epigenome analysis|DNA methylation analysis|CTCF ChIP-seq epigenome analysis"
"AG04450","CVCL_F486","","Finite cell line","","CVCL_F485 ! AG04449","GSM510532|GSM510534|GSM749697|GSM749769|GSM945169|GSM945177|GSM1010912|GSM1010913|GSM1010914|GSM1022635|GSM2072418|GSM2072419|GSM2072446|GSM2072447","ENCBS004ENC|ENCBS008ENC|ENCBS485QDY|ENCBS554API","Transcriptome analysis by RNAseq|H3K4me3 ChIP-seq epigenome analysis|DNA methylation analysis|H3K27ac ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis|CTCF ChIP-seq epigenome analysis"
"AG04456","CVCL_2A93","GRC#0195","Finite cell line","","CVCL_2G36 ! AG14251","GSM244113|GSM244114",NA,"Transcriptome analysis by microarray"
"AG04457","CVCL_2A94","GRC#0196","Finite cell line","","CVCL_2B34 ! AG05248","GSM3124604",NA,"Transcriptome analysis by RNAseq"
"AG04461","CVCL_2A98","GRC#0201","Finite cell line","","CVCL_2G03 ! AG13345","GSM3124595",NA,"Transcriptome analysis by RNAseq"
"AG04655","CVCL_2B09","AG 4655; GRC#0207","Finite cell line","","CVCL_2E67 ! AG12588","GSM426262",NA,"Transcriptome analysis by microarray"
"AG04659","CVCL_2B13","AG_04659; AG4659; GRC#0219","Finite cell line","","CVCL_2B43 ! AG05283|CVCL_2D83 ! AG11243","GSM6348",NA,"Transcriptome analysis by microarray"
"AG04661","CVCL_2B15","GRC#0238","Finite cell line","","","GSM3124611",NA,"Transcriptome analysis by RNAseq"
"AG04662","CVCL_2B16","AG04662C; AG04662D; GRC#0235","Finite cell line","","","GSM3124672",NA,"Transcriptome analysis by RNAseq"
"AG05013","CVCL_X812","","Finite cell line","NCIt; C3335; Rothmund-Thomson syndrome|ORDO; Orphanet_2909; Rothmund-Thomson syndrome","","GSM476016",NA,"Transcriptome analysis by microarray"
"AG05229","CVCL_X835","AG05229B","Finite cell line","NCIt; C3447; Werner syndrome|ORDO; Orphanet_902; Werner syndrome","CVCL_X836 ! AG12799|CVCL_X837 ! AG12800","GSM476004|GSM1184268|GSM1184269|GSM1535460|GSM1535472",NA,"Transcriptome analysis by microarray|miRNA expression profiling"
"AG05247","CVCL_L605","AG05247D; AG05247E; GRC#0445","Finite cell line","","CVCL_L607 ! AG09602","GSM3124615",NA,"Transcriptome analysis by RNAseq"
"AG05248","CVCL_2B34","AG05248A; GRC#0520","Finite cell line","","CVCL_2A94 ! AG04457","GSM3124617",NA,"Transcriptome analysis by RNAseq"
"AG05274","CVCL_2B39","AG05274B; GRC#0540","Finite cell line","","CVCL_2D43 ! AG10884","GSM3124609",NA,"Transcriptome analysis by RNAseq"
"AG05283","CVCL_2B43","AG_05283; GRC#0556","Finite cell line","","CVCL_2B13 ! AG04659|CVCL_2D83 ! AG11243","GSM6364",NA,"Transcriptome analysis by microarray"
"AG05413","CVCL_2B46","GRC#0294","Finite cell line","","","GSM3124603",NA,"Transcriptome analysis by RNAseq"
"AG05414","CVCL_2B47","AG_05414; GRC#0298","Finite cell line","","CVCL_2A92 ! AG04455","GSM6349|GSM6387",NA,"Transcriptome analysis by microarray"
"AG05416","CVCL_2B49","GRC#0293","Finite cell line","","CVCL_2D95 ! AG11364|CVCL_2F57 ! AG13145","GSM426257",NA,"Transcriptome analysis by microarray"
"AG05838","CVCL_2B60","AG_05838; AG05838B; GRC#0575","Finite cell line","","CVCL_2E44 ! AG11745","GSM6350",NA,"Transcriptome analysis by microarray"
"AG05844","CVCL_2B63","AG_05844; AG05844A; GRC#0584","Finite cell line","","CVCL_2D93 ! AG11362|CVCL_2F56 ! AG13144","GSM6351",NA,"Transcriptome analysis by microarray"
"AG06083","CVCL_6G85","","Finite cell line","NCIt; C26747; Type 2 diabetes mellitus","","GSM2064580|GSM2064582|GSM2064583|GSM2064584",NA,NA
"AG06235","CVCL_2B67","AG_06235; GRC#0441","Finite cell line","","CVCL_2F60 ! AG13151","GSM6352|GSM6388",NA,"Transcriptome analysis by microarray"
"AG06237","CVCL_2B69","GRC#0461","Finite cell line","","","GSM426263",NA,"Transcriptome analysis by microarray"
"AG06276","CVCL_2B74","","Finite cell line","","","GSM3124606",NA,"Transcriptome analysis by RNAseq"
"AG06291","CVCL_2B87","AG 6291; AG06291A; AG06291C; GRC#0544","Finite cell line","","","GSM3124673",NA,"Transcriptome analysis by RNAseq"
"AG06300","CVCL_0J91","AG06300A","Finite cell line","NCIt; C3447; Werner syndrome|ORDO; Orphanet_902; Werner syndrome","","GSM1184270|GSM1184271|GSM1535459|GSM1535469",NA,"Transcriptome analysis by microarray|miRNA expression profiling"
