"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"03-01 iPS #2","CVCL_A2UI","03-01#2","Induced pluripotent stem cell","","","GSM1019353",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-01 iPS #3","CVCL_A2UJ","03-01#3","Induced pluripotent stem cell","","","GSM1019354",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-01 iPS #4","CVCL_A2UK","03-01#4","Induced pluripotent stem cell","","","GSM1019355",NA,"Transcriptome analysis by microarray"
"03-01 iPS #9","CVCL_A2UL","03-01#9","Induced pluripotent stem cell","","","GSM1019356",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-02 iPS #2B","CVCL_A2UM","03-02#2B","Induced pluripotent stem cell","","","GSM1019360",NA,"Transcriptome analysis by microarray"
"03-02 iPS #5","CVCL_A2UN","03-02#5","Induced pluripotent stem cell","","","GSM1019358",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-02 iPS #8","CVCL_A2UP","03-02#8","Induced pluripotent stem cell","","","GSM1019359",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-02 iPS #9","CVCL_A2UQ","03-02#9","Induced pluripotent stem cell","","","GSM1019357",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-03 iPS #2","CVCL_A2UR","03-03#2","Induced pluripotent stem cell","","","GSM1019350",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-03 iPS #3","CVCL_A2US","03-03#3","Induced pluripotent stem cell","","","GSM1019351",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-03 iPS #4","CVCL_A2UT","03-03#4","Induced pluripotent stem cell","","","GSM1019352",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-04 iPS #1","CVCL_A2UU","03-04#1","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019362",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-04 iPS #3","CVCL_A2UV","03-04#3","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019363",NA,"Transcriptome analysis by microarray"
"03-04 iPS #5","CVCL_A2UW","03-04#5","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019364",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"03-04 iPS #6","CVCL_A2UX","03-04#6","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019361",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"100-1#16","CVCL_T867","100-1 #16","Induced pluripotent stem cell","","CVCL_T866 ! 100-1#8","GSM898296",NA,"Array-based CGH|Transcriptome analysis by microarray"
"11a","CVCL_8987","iPS-11a; hiPS-11a; hiPS 11a; IPS cell line 11a; iPS11a","Induced pluripotent stem cell","","CVCL_8988 ! 11b|CVCL_8989 ! 11c","GSM537693|GSM537694|GSM621719|GSM637778","ENCBS549SAW|ENCBS620GSG","Transcriptome analysis by microarray|Deep exome analysis|H3K4me3 ChIP-seq epigenome analysis"
"11b","CVCL_8988","iPS-11b; hiPS-11b; hiPS 11b; iPS11b","Induced pluripotent stem cell","","CVCL_8987 ! 11a|CVCL_8989 ! 11c","GSM621715|GSM637779","ENCBS473MEX","Transcriptome analysis by microarray|Deep exome analysis"
"11c","CVCL_8989","iPS-11c; hiPS-11c; hiPS 11c","Induced pluripotent stem cell","","CVCL_8987 ! 11a|CVCL_8988 ! 11b","GSM637780|GSM670073","ENCBS312LLV","Transcriptome analysis by microarray"
"1201C1","CVCL_LJ37","HPS0379","Induced pluripotent stem cell","","CVCL_A3DQ ! 1205D1|CVCL_LJ38 ! 1210B2|CVCL_LJ39 ! 1231A3","GSM2064338",NA,"CNV analysis"
