"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"ARPE-19","CVCL_0145","ARPE19; Adult Retinal Pigment Epithelial cell line-19; NTC-200; NTC200","Spontaneously immortalized cell line","","","GSM1227434","ENCBS054LTE|ENCBS534TJM","Transcriptome analysis by microarray|Deep proteome analysis|Deep quantitative phosphoproteome analysis|Metabolome analysis"
"FHC","CVCL_3688","Fetal Human Colon","Spontaneously immortalized cell line","","","GSM1448155",NA,"Transcriptome analysis by microarray"
"HaCaT","CVCL_0038","HaCAT; HACAT; Hacat","Spontaneously immortalized cell line","","","GSE57080|GSM913344|GSM913345|GSM960278|GSM960279|GSM960280|GSM960286|GSM960287|GSM960288|GSM960294|GSM960295|GSM960296|GSM1375594|GSM1375595|GSM1375596|GSM1375597|GSM1375598|GSM1375599|GSM1375600|GSM1375601|GSM1375602|GSM1375603|GSM1375604|GSM1375605|GSM1861816|GSM1861817|GSM1861820|GSM1861821|GSM2112559|GSM2112563|GSM2495796|GSM2495797|GSM2495798",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|Deep proteome analysis|Metabolome analysis|Deep antibody staining analysis"
"HaCaT siYAP","CVCL_QX09","siYAP_HaCAT","Spontaneously immortalized cell line","","","GSM2112560|GSM2112561|GSM2112562",NA,"Transcriptome analysis by RNAseq"
"HaCaT YAP-5SA","CVCL_QX10","YAP_5SA_HaCAT","Spontaneously immortalized cell line","","","GSM2112564|GSM2112565|GSM2112566",NA,"Transcriptome analysis by RNAseq"
"HMT-3522 S1","CVCL_2499","HMT-3522-S1; HMT3522 S1; HMT-3522S1; HMT3522S1; S1; S-1; HMT-3522/wt; HMEC S1","Spontaneously immortalized cell line","","","GSM200612|GSM200739|GSM200740|GSM200741|GSM200742|GSM200743|GSM1219374|GSM1219375|GSM1219376|GSM1219377|GSM1219378",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep proteome analysis"
"HMT-3522 T4-2","CVCL_2501","T4-2; T4; HMT-3522/mt-1; mt-1; HMT-3522/massive tumor-1","Spontaneously immortalized cell line","","","GSM1172999|GSM1219379|GSM1219380|GSM1219381|GSM1219382|GSM1219383|GSM1219384|GSM1219385|GSM1219386|GSM1219387|GSM1219388|GSM1219389|GSM1219390|GSM1219391|GSM1219392|GSM1219393|GSM1219394|GSM1219395|GSM1219396|GSM1219397",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"iOdE","CVCL_JE68","immortalized Odontogenic Epithelial cells","Spontaneously immortalized cell line","","","GSM1942372",NA,"Transcriptome analysis by microarray"
"MCF-10A","CVCL_0598","MCF 10A; MCF.10A; MCF10A; MCF10-A; MCF10a; MCF-10 Attached; Michigan Cancer Foundation-10A","Spontaneously immortalized cell line","","","GSM50033|GSM155217|GSM320171|GSM350543|GSM498022|GSM498026|GSM756371|GSM845395|GSM844584|GSM1053724|GSM1172973|GSM1172882|GSM1238116|GSM1328939|GSM1328940|GSM1328941|GSM2258704|GSM2258705|GSM2258706|GSM2258707|GSM2258708|GSM2258709|GSM2258710|GSM2258711|GSM2258712|GSM2258713|GSM2258714|GSM2258715|GSM2258716|GSM2258717|GSM2258718|GSM2258719|GSM2258720|GSM2258721|GSM2258944|GSM2258945|GSM2258946|GSM2862786|GSM2862787|GSM2862788","ENCBS066ENC|ENCBS067ENC|ENCBS317EPD|ENCBS417KGL|ENCBS617ENC|ENCBS618ENC|ENCBS619ENC|ENCBS620ENC|ENCBS621ENC|ENCBS622ENC|ENCBS623ENC|ENCBS868SSJ","Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray|SNP array analysis|H3K9ac ChIP-seq epigenome analysis|CNV analysis|H3K4me3 ChIP-seq epigenome analysis|Deep proteome analysis|Exosome proteome analysis|DNA methylation analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis|Protein expression by reverse-phase protein arrays|Deep quantitative proteome analysis|H2BK120ub ChIP-seq epigenome analysis|H3K23ac ChIP-seq epigenome analysis|H3K79me2 ChIP-seq epigenome analysis|H4K8ac ChIP-seq epigenome analysis|Metabolome analysis|N-glycan profiling|Glycoproteome analysis by proteomics"
"MCF-10F","CVCL_3633","MCF 10F; MCF10F; MCF-10 Floating; Michigan Cancer Foundation-10F","Spontaneously immortalized cell line","","CVCL_5553 ! MCF-10-2F","GSM115080|GSM115081|GSM115082|GSM1172974|GSM1172883",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"MCF-12A","CVCL_3744","MCF12A; Michigan Cancer Foundation-12A","Spontaneously immortalized cell line","","CVCL_3745 ! MCF-12F","GSM756372|GSM845396|GSM844585|GSM1053717|GSM1172975|GSM1172884|GSM1238117",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|DNA methylation analysis|Protein expression by reverse-phase protein arrays|Glycoproteome analysis by proteomics"
