"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"11365","CVCL_VQ88","","Transformed cell line","","","GSE7889",NA,"H3K14ac ChIP-seq epigenome analysis|H3K9ac ChIP-seq epigenome analysis"
"184A1","CVCL_3040","184 A1; H184A1","Transformed cell line","","","GSM350522|GSM845393|GSM843436|GSM1172932|GSM1172844",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|CNV analysis|Protein expression by reverse-phase protein arrays"
"184B5","CVCL_4688","184-B5; B5/589; B5-589; H184B5","Transformed cell line","","","GSM1172933|GSM1172845",NA,"Transcriptome analysis by RNAseq|SNP array analysis|Deep exome analysis|Protein expression by reverse-phase protein arrays"
"293/pmiR-155","CVCL_IM63","","Transformed cell line","","","GSM235038|GSM235039|GSM235040|GSM235041",NA,"Transcriptome analysis by microarray"
"293/pmiR-K12-11","CVCL_IM64","","Transformed cell line","","","GSM235042|GSM235043|GSM235044|GSM235045",NA,"Transcriptome analysis by microarray"
"76N RhoA.G14V","CVCL_C2V2","","Transformed cell line","","","GSM324076|GSM324077|GSM324078",NA,"Transcriptome analysis by microarray"
"76N RhoA.T37A","CVCL_C2V4","","Transformed cell line","","","GSM324079|GSM324080|GSM324081",NA,"Transcriptome analysis by microarray"
"76N RhoA.WT","CVCL_C2V1","","Transformed cell line","","","GSM324073|GSM324074|GSM324075",NA,"Transcriptome analysis by microarray"
"76N-F2V","CVCL_A5AH","76NF2V","Transformed cell line","","","GSM2258686|GSM2258687|GSM2258688|GSM2258689|GSM2258690|GSM2258691|GSM2258692|GSM2258693|GSM2258694|GSM2258695|GSM2258696|GSM2258697|GSM2258698|GSM2258699|GSM2258700|GSM2258701|GSM2258702|GSM2258703|GSM2258920|GSM2258921|GSM2258922",NA,"H3K9ac ChIP-seq epigenome analysis|H3K4me3 ChIP-seq epigenome analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis|H2BK120ub ChIP-seq epigenome analysis|H3K23ac ChIP-seq epigenome analysis|H3K79me2 ChIP-seq epigenome analysis|H4K8ac ChIP-seq epigenome analysis"
"AG03364","CVCL_U309","AG03364A; AG3364A","Transformed cell line","NCIt; C3447; Werner syndrome|ORDO; Orphanet_902; Werner syndrome","","GSM1052417",NA,"DNA methylation analysis"
