"id","accession","synonyms","category","disease","origin","geo","encode","omics"
"HLF-a","CVCL_2255","HLFa; HLFA","Undefined cell line type","","","GSM206505|GSM274805|GSM274806|GSM887085|GSM888155",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 172.T","CVCL_0660","Hs-172-T; Hs172T; HS172T","Undefined cell line type","","","GSM136248|GSM887092|GSM888163",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 229.T","CVCL_0698","Hs-229-T; Hs229T; HS229T","Undefined cell line type","","","GSM887093|GSM888164",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 274.T","CVCL_0711","Hs-274-T; Hs274T; HS274T; Hs 274","Undefined cell line type","","","GSM887094|GSM888165",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 281.T","CVCL_0715","Hs-281-T; Hs281T; HS281T","Undefined cell line type","","","GSM887095|GSM888166",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 343.T","CVCL_0726","Hs-343-T; Hs343T; HS343T","Undefined cell line type","","","GSM887097|GSM888168",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 600.T","CVCL_0814","Hs-600-T; Hs600T; HS600T","Undefined cell line type","","CVCL_G019 ! Hs 600.Sk","GSM827397|GSM887099|GSM888170",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 604.T","CVCL_0816","Hs-604-T; Hs604T; HS604T","Undefined cell line type","","","GSM887100|GSM888171",NA,"Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 606.T","CVCL_0819","Hs-606-T; Hs606T; HS606T; Hs 606; Hs606","Undefined cell line type","","CVCL_R694 ! Hs 606.Mg|CVCL_0820 ! Hs 606.Sk","GSM887101|GSM888172",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 616.T","CVCL_0825","Hs-616-T; Hs616T; HS616T","Undefined cell line type","","","GSM887103|GSM888174",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|Virome analysis using RNAseq"
"Hs 618.T","CVCL_0827","Hs-618-T; Hs618T; HS618T; 618T","Undefined cell line type","","CVCL_S304 ! Hs 618.Lu","GSM887104|GSM888175",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 675.T","CVCL_0836","Hs-675-T; Hs675T; HS675T; Hs675; 675T","Undefined cell line type","","","GSM887105|GSM888176",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
"Hs 688(A).T","CVCL_0846","Hs688(A)T; Hs-688A-T; HS688AT","Undefined cell line type","","CVCL_0847 ! Hs 688(B).T","GSM887107|GSM888178",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis"
