"","id","accession","synonyms","category","disease","origin","geo","encode","omics"
"1","03-01 iPS #2","CVCL_A2UI","03-01#2","Induced pluripotent stem cell","","","GSM1019353",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"2","03-01 iPS #3","CVCL_A2UJ","03-01#3","Induced pluripotent stem cell","","","GSM1019354",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"3","03-01 iPS #4","CVCL_A2UK","03-01#4","Induced pluripotent stem cell","","","GSM1019355",NA,"Transcriptome analysis by microarray"
"4","03-01 iPS #9","CVCL_A2UL","03-01#9","Induced pluripotent stem cell","","","GSM1019356",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"5","03-02 iPS #2B","CVCL_A2UM","03-02#2B","Induced pluripotent stem cell","","","GSM1019360",NA,"Transcriptome analysis by microarray"
"6","03-02 iPS #5","CVCL_A2UN","03-02#5","Induced pluripotent stem cell","","","GSM1019358",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"7","03-02 iPS #8","CVCL_A2UP","03-02#8","Induced pluripotent stem cell","","","GSM1019359",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"8","03-02 iPS #9","CVCL_A2UQ","03-02#9","Induced pluripotent stem cell","","","GSM1019357",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"9","03-03 iPS #2","CVCL_A2UR","03-03#2","Induced pluripotent stem cell","","","GSM1019350",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"10","03-03 iPS #3","CVCL_A2US","03-03#3","Induced pluripotent stem cell","","","GSM1019351",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"11","03-03 iPS #4","CVCL_A2UT","03-03#4","Induced pluripotent stem cell","","","GSM1019352",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"12","03-04 iPS #1","CVCL_A2UU","03-04#1","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019362",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"13","03-04 iPS #3","CVCL_A2UV","03-04#3","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019363",NA,"Transcriptome analysis by microarray"
"14","03-04 iPS #5","CVCL_A2UW","03-04#5","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019364",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"15","03-04 iPS #6","CVCL_A2UX","03-04#6","Induced pluripotent stem cell","NCIt; C88412; Autism spectrum disorder","","GSM1019361",NA,"Genome sequenced|Transcriptome analysis by RNAseq|Array-based CGH|Transcriptome analysis by microarray"
"16","100-1#16","CVCL_T867","100-1 #16","Induced pluripotent stem cell","","CVCL_T866 ! 100-1#8","GSM898296",NA,"Array-based CGH|Transcriptome analysis by microarray"
"17","1102-mel","CVCL_8030","1102-MEL; 1102 mel; 1102mel; 1102; Mel-1102; MEL1102","Cancer cell line","NCIt; C3224; Melanoma","","GSM218054",NA,"Array-based CGH|Transcriptome analysis by microarray"
"18","11365","CVCL_VQ88","","Transformed cell line","","","GSE7889",NA,"H3K14ac ChIP-seq epigenome analysis|H3K9ac ChIP-seq epigenome analysis"
"19","1174","CVCL_DI59","","Cancer cell line","NCIt; C3230; Meningioma|ORDO; Orphanet_2495; Meningioma","","GSM560316",NA,NA
"20","1182-mel","CVCL_8032","1182-MEL; 1182 mel; 1182","Cancer cell line","NCIt; C3224; Melanoma","","GSM218058|GSM1092562",NA,"Array-based CGH|Transcriptome analysis by microarray"
"21","1195-mel","CVCL_8033","1195-MEL; 1195 mel; 1195","Cancer cell line","NCIt; C3224; Melanoma","","GSM218057",NA,"Array-based CGH|Transcriptome analysis by microarray"
"22","11a","CVCL_8987","iPS-11a; hiPS-11a; hiPS 11a; IPS cell line 11a; iPS11a","Induced pluripotent stem cell","","CVCL_8988 ! 11b|CVCL_8989 ! 11c","GSM537693|GSM537694|GSM621719|GSM637778","ENCBS549SAW|ENCBS620GSG","Transcriptome analysis by microarray|Deep exome analysis|H3K4me3 ChIP-seq epigenome analysis"
"23","11b","CVCL_8988","iPS-11b; hiPS-11b; hiPS 11b; iPS11b","Induced pluripotent stem cell","","CVCL_8987 ! 11a|CVCL_8989 ! 11c","GSM621715|GSM637779","ENCBS473MEX","Transcriptome analysis by microarray|Deep exome analysis"
"24","11c","CVCL_8989","iPS-11c; hiPS-11c; hiPS 11c","Induced pluripotent stem cell","","CVCL_8987 ! 11a|CVCL_8988 ! 11b","GSM637780|GSM670073","ENCBS312LLV","Transcriptome analysis by microarray"
"25","1201C1","CVCL_LJ37","HPS0379","Induced pluripotent stem cell","","CVCL_A3DQ ! 1205D1|CVCL_LJ38 ! 1210B2|CVCL_LJ39 ! 1231A3","GSM2064338",NA,"CNV analysis"
"26","1205Lu","CVCL_5239","1205-Lu; 1205 Lu; WM 1205LU; WM-1205LU; WM1205Lu; WM1205; LU1205; Lu1205; WC00058","Cancer cell line","NCIt; C3510; Cutaneous melanoma","","GSM109020|GSM109021|GSM188067|GSM188119|GSM188192|GSM188207|GSM188218|GSM188283|GSM188292|GSM952578",NA,"Transcriptome analysis by microarray|Deep proteome analysis|Exosome proteome analysis"
"27","1210B2","CVCL_LJ38","HPS4293","Induced pluripotent stem cell","","CVCL_LJ37 ! 1201C1|CVCL_A3DQ ! 1205D1|CVCL_LJ39 ! 1231A3","GSM2064336",NA,"CNV analysis"
"28","1231A3","CVCL_LJ39","HPS0381; KUIMSi012-A","Induced pluripotent stem cell","","CVCL_LJ37 ! 1201C1|CVCL_A3DQ ! 1205D1|CVCL_LJ38 ! 1210B2","GSM2064337",NA,"CNV analysis"
"29","1290-mel","CVCL_7943","1290-MEL; 1290 mel; 1290; MG-1290; 1290-MEL p14; 1290p14","Cancer cell line","NCIt; C3224; Melanoma","CVCL_A1DN ! 888-EBV|CVCL_4632 ! 888-mel|CVCL_DI11 ! 1858-mel a|CVCL_DI12 ! 1858-mel b|CVCL_DI13 ! 1858-mel c|CVCL_DI14 ! 1936-mel|CVCL_DI15 ! 1962-mel","GSM218047|GSM218048|GSM1092557",NA,"Array-based CGH|Transcriptome analysis by microarray"
"30","1321N1","CVCL_0110","1321-N1; 1321 N1","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM827421|GSM886835|GSM887898|GSM1374373|GSM3034453|GSM3034454|GSM3034455|GSM3034456|GSM3034457|GSM3034458",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis"
"31","1321N1 MRTFA KO","CVCL_C3IQ","1321N1-MRTFA KO","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM3034465|GSM3034466|GSM3034467|GSM3034468|GSM3034469|GSM3034470",NA,"Transcriptome analysis by RNAseq"
"32","1321N1 RHOA KO","CVCL_C3IR","1321N1-Rho KO","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM3034471|GSM3034472",NA,"Transcriptome analysis by RNAseq"
"33","1321N1 YAP1 KO","CVCL_C3IS","1321N1-YAP KO","Cancer cell line","NCIt; C60781; Astrocytoma|ORDO; Orphanet_94; Astrocytoma","","GSM3034459|GSM3034460|GSM3034461|GSM3034462|GSM3034463|GSM3034464",NA,"Transcriptome analysis by RNAseq"
"34","1375-4f1","CVCL_DP69","","Induced pluripotent stem cell","","","GSM1040262|GSM1040332",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"35","1377-4f1","CVCL_DP70","","Induced pluripotent stem cell","","","GSM1040263|GSM1040333",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"36","143B","CVCL_2270","143b; 143 B; 143B TK-; 143B.TK-; 143BTK-; 143TK-; HOS-143B; HOS-143b; GM05887; GM05887A","Cancer cell line","NCIt; C9145; Osteosarcoma|ORDO; Orphanet_668; Osteosarcoma","","GSM320829|GSM879206|GSM886836|GSM887899|GSM1914980|GSM1914981|GSM1914982|GSM1914983|GSM1915018|GSM1915019|GSM1915020|GSM1915021|GSM1915022|GSM2635309|GSM2635310",NA,"Transcriptome analysis by RNAseq|Transcriptome analysis by microarray|SNP array analysis|Deep exome analysis|H3K27ac ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis"
"37","1488-4f1","CVCL_DP72","1488-4F1","Induced pluripotent stem cell","","","GSM1040265|GSM1040335|GSM1899763",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"38","15b","CVCL_8990","iPS-15b; hiPS-15b; hiPS 15b","Induced pluripotent stem cell","","","GSM537687|GSM537690|GSM537691|GSM537692|GSM537696|GSM621433|GSM621444|GSM621557|GSM621721|GSM637781|GSM772767","ENCBS196IDK|ENCBS201ENZ|ENCBS448IJH","Transcriptome analysis by microarray|H3K9ac ChIP-seq epigenome analysis|H3K4me3 ChIP-seq epigenome analysis|H3K4me1 ChIP-seq epigenome analysis|H3K27me3 ChIP-seq epigenome analysis|H3K36me3 ChIP-seq epigenome analysis|H3K9me3 ChIP-seq epigenome analysis"
"39","166","CVCL_E4YL","","Induced pluripotent stem cell","","","GSM7036154|GSM7043210|GSM7043211|GSM7043212",NA,"SNP array analysis|Transcriptome analysis by single cell RNAseq"
"40","1687-4f2","CVCL_DP74","1687-4F2","Induced pluripotent stem cell","","","GSM1040267|GSM1040337|GSM1899764",NA,"Transcriptome analysis by microarray|DNA methylation analysis"
"41","17a","CVCL_8991","iPS-17a; hiPS-17a; hiPS 17a; iPS17a","Induced pluripotent stem cell","","CVCL_8992 ! 17b","GSM621699|GSM637782","ENCBS868JUD","Transcriptome analysis by microarray|Deep exome analysis"
"42","17b","CVCL_8992","iPS-17b; hiPS-17b; hiPS 17b; iPS17b","Induced pluripotent stem cell","","CVCL_8991 ! 17a","GSM621714|GSM637783|GSM670062|GSM670067","ENCBS041ZVO","Transcriptome analysis by microarray|Deep exome analysis"
"43","180N","CVCL_E4YM","","Induced pluripotent stem cell","","","GSM7036155|GSM7043210|GSM7043211|GSM7043212",NA,"SNP array analysis|Transcriptome analysis by single cell RNAseq"
"44","1835_iPS1","CVCL_RA96","","Induced pluripotent stem cell","NCIt; C3362; Schizophrenia","","GSM1820080",NA,NA
"45","1835_iPS2","CVCL_RA97","","Induced pluripotent stem cell","NCIt; C3362; Schizophrenia","","GSM1820081",NA,"Chromatin accessibility by ATAC-seq"
