"","id","GPL6480","GPL4","GPL1485","GPL9973","GPL8490","GPL6984","GPL11154","GPL5188","GPL9115","GPL16131","GPL16791","GPL3720","GPL570","GPL20301","GPL6017","GPL10850","GPL16700","GPL10904","GPL13534","GPL6801","GPL3921","GPL6244","GPL10999","GPL10558","GPL14550","GPL9052","GPL7504","GPL6883","GPL13393","GPL6884","GPL4133"
"1","AND-1","GSE23091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BG01",NA,"GSE14|GSE15309|GSE1902|GSE20027|GSE51334|GSE34200|GSE34869|GSE35157|GSE52617|GSE52824","GSE14|GSE15309|GSE1902|GSE20027|GSE51334|GSE34200|GSE34869|GSE35157|GSE52617|GSE52824","GSE14|GSE15309|GSE1902|GSE20027|GSE51334|GSE34200|GSE34869|GSE35157|GSE52617|GSE52824","GSE14|GSE15309|GSE1902|GSE20027|GSE51334|GSE34200|GSE34869|GSE35157|GSE52617|GSE52824","GSE14|GSE15309|GSE1902|GSE20027|GSE51334|GSE34200|GSE34869|GSE35157|GSE52617|GSE52824","GSE14|GSE15309|GSE1902|GSE20027|GSE51334|GSE34200|GSE34869|GSE35157|GSE52617|GSE52824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BG02",NA,NA,NA,NA,"GSE19090|NA|GSE34200|GSE34869|GSE35157|GSE34399|GSE51334","GSE19090|NA|GSE34200|GSE34869|GSE35157|GSE34399|GSE51334",NA,"GSE19090|NA|GSE34200|GSE34869|GSE35157|GSE34399|GSE51334","GSE19090|NA|GSE34200|GSE34869|GSE35157|GSE34399|GSE51334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BG03",NA,NA,NA,NA,"GSE34200|GSE34869|GSE35157","GSE34200|GSE34869|GSE35157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CHA-hES15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE163134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","CHA-NTK6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CHA-NTK7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CHA-NTK8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE73362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CSES1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE21672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CSES12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
