"","estimate","2.5%","97.5%","margpp"
"intercept",-1.30030890468495,-2.22112603532762,-0.296259534174677,1
"E2F2",0.210156630090758,0.145465912096738,0.290361092973237,0.999985869161623
"E2F4",0.293274574754978,0,0.410189970771605,0.982898143994028
"FLI1",0.0696453625727546,0,0.125061942672547,0.745378500788585
"FOXK1",0.152533281348943,0,0.32401032578037,0.629375761405649
"HSF4",-0.130214567476264,-0.223582795610444,0,0.865960533412784
"IRF4",0.0943922587962357,0,0.168628907950811,0.860026256792513
"MAX",-0.250307143469955,-0.357579915412162,0,0.952804463503946
"MSX2",-0.0812919878627184,-0.140004543992864,0,0.703048019545603
"NR2C1",0.159880989789835,0,0.327031893815463,0.765107099281585
"RARA",-0.1098440036508,-0.242252219181058,0,0.574360969353769
"ZBTB12",0.114624087589431,0,0.290312250565242,0.585671067509189
"ZNF189",-0.261402435251666,-0.354227512919306,-0.160834836115255,0.962634972104639
"ZNF692",0.292647167505959,0.208937544576754,0.374158932983527,0.999298040931811
"phi",0.999592780602632,0.92858322202871,1.0834919343836,1
