"","estimate","X2.5.","X97.5.","margpp","beta"
"ALX3",0,0,0,3.44819418488066e-06,0
"ARGFX",-0.000665613201329975,0,0,0.0020086399570805,0
"ARNT2",0,0,0,1.00772506960548e-05,0
"ASCL1",0.00546737805991043,0,0.0983407817638951,0.0681396149983805,0.00494703840344411
"ATF2",0,0,0,2.14343623903803e-05,0
"ATF3",-0.0012083531968123,0,0,0.0157086604621052,-0.00121421690581815
"ATF4",0,0,0,9.28013229814653e-06,0
"ATF6",0,0,0,0.000537945328802,0
"ATF7",0,0,0,9.45666097893991e-06,0
"ATOH7",0,0,0,2.73808759152089e-05,0
"BACH1",0,0,0,0.000146776642841555,0
"BACH2",0.00217401904064674,0,0,0.0256223335955207,0.00169084845312833
"BARHL1",0,0,0,6.56342848435102e-06,0
"BARHL2",0,0,0,4.79731267890479e-06,0
"BARX1",0,0,0,1.08204263585816e-05,0
"BARX2",0,0,0,3.61509297212706e-06,0
"BATF",-0.0192599296842817,-0.108796365793158,0,0.131749312720721,-0.0200215017224305
"BATF3",-1.49839122523943e-05,0,0,0.000283560623130276,0
"BCL11A",0,0,0,0.000144641632829204,0
"BCL6",0,0,0,7.76079029481709e-05,0
"BHLHA15",6.8387364443399e-05,0,0,0.00427660895102314,0.000173535672864661
"BHLHE22",0,0,0,6.4107311918422e-06,0
"BHLHE23",0,0,0,1.10916881203844e-05,0
"BHLHE40",0,0,0,0.000201920906260443,0
"BHLHE41",0,0,0,1.1755789373184e-05,0
"BNC2",0,0,0,6.72183514000497e-06,0
"BSX",0,0,0,2.32157117360809e-05,0
"CDX1",0,0,0,9.75961009649523e-06,0
"CDX2",0,0,0,0.000109670651544622,0
"CDX4",0,0,0,8.49002041986734e-05,0
"CEBPA",0,0,0,1.64593139113873e-05,0
"CEBPB",0,0,0,2.05951990942386e-05,0
"CEBPD",0,0,0,2.09076252125186e-05,0
"CEBPE",0,0,0,1.93642277062449e-05,0
"CEBPG",0,0,0,6.39552272263519e-06,0
