"","estimate","X2.5.","X97.5.","margpp","beta"
"AFF4",0,0,0,0.000275829987155743,0
"AHR",-9.39941979269059e-05,0,0,0.00930017462546224,-5.89422115902613e-05
"AMH",-4.799956138613e-06,0,0,0.00147209187500535,0
"APOBEC3B",0,0,0,1.29506910839164e-05,0
"AR",0,0,0,0.000128978675379377,0
"ARID2",0,0,0,3.20749509344411e-05,0
"ARID4B",-0.145524114037111,-0.389284851379248,0,0.3631347244931,-0.143138260036
"ARNT",0,0,0,4.23569190010721e-05,0
"ATF1",0,0,0,0.000112201362019734,0
"BACH1",0,0,0,1.19310971384163e-05,0
"BCL3",0,0,0,2.52070713721046e-05,0
"BCL6",0,0,0,1.94132354637449e-05,0
"BCOR",0,0,0,0.000188479786601022,0
"BHLHE40",0,0,0,0.0008750117187341,0
"BMI1",0,0,0,3.05563096859481e-05,0
"BRCA1",0,0,0,4.5290570095983e-05,0
"BRD3",-0.000424302337336726,0,0,0.0148738321331865,-0.000904152814460573
"BRD4",0,0,0,4.4489696480187e-05,0
"BRD7",0,0,0,8.44886097801376e-05,0
"BRD9",0.297511395823566,0.20838464847141,0.38883797452449,0.999890105046231,0.300294087488535
"BRIP1",0,0,0,2.64449900530159e-05,0
"BRPF3",0,0,0,0.000143441551878052,0
"CAT",0,0,0,4.65547572128937e-05,0
"CBFB",0,0,0,2.07025231221533e-05,0
"CDK8",0,0,0,1.07108728441304e-05,0
"CDK9",0,0,0,8.39078585840865e-05,0
"CDKN1B",0,0,0,3.17198941434552e-05,0
"CEBPA",0,0,0,1.72199488451233e-05,0
"CEBPB",0,0,0,3.99166740603451e-05,0
"CEBPD",0,0,0,5.34243776068402e-05,0
"CHD1",0,0,0,3.31821189787186e-05,0
"CHD2",0,0,0,1.87624171894455e-05,0
"CHD8",0.000119038910508848,0,0,0.00327046735737865,0.000137732743639542
"CNOT3",0,0,0,7.80756265341747e-05,0
"CREB1",0,0,0,0.000186923282446858,0
"CREBBP",-0.00352734288050292,0,0,0.0260759347105526,-0.00289096930575496
"CRY1",0,0,0,0.000132357810478159,0
"CTBP2",-0.000122374924481415,0,0,0.000872555195577863,-6.04764041542943e-05
"CTCF",0.00150907450347077,0,0,0.0223036344183291,0.000786856758432421
"CTCFL",0,0,0,6.42161349902993e-06,0
"CUL4A",0,0,0,1.72951841940567e-05,0
"CUX1",-0.000387999052052798,0,0,0.0125633805148168,-0.000521064187095761
"DAND5",0,0,0,2.37290821992133e-05,0
"DDX5",0,0,0,3.16082990926981e-05,0
"DMAP1",0,0,0,1.98661720877559e-05,0
"DMC1",0,0,0,4.34519502032802e-05,0
"DNMT1",0.00644761429355461,0,0.163332068242872,0.0501268056474234,0.00722778817167819
"DNMT3B",0,0,0,0.000266637176796206,0
"DPF2",0,0,0,0.000362556502165246,0
"DTL",0,0,0,0.000159192940940046,0
"E2F1",0,0,0,0.000129395087700156,0
"E2F2",0.0633366439076015,0,0.21879901570704,0.198551849371134,0.0634864805659138
"E2F3",-1.94755942280214e-05,0,0,0.000863647922937651,0
"E2F4",0.00136143364582955,0,0,0.00570405848356708,0.00238096353696108
"E2F6",0,0,0,3.66822862791332e-05,0
"E2F8",0.0039793884929077,0,0,0.0349628314949724,0.0041447561886833
"EBF1",-4.42731413737464e-06,0,0,0.000452488168840234,0
"EED",0,0,0,5.93903858486322e-05,0
"EGR1",0,0,0,1.28866942873604e-05,0
"EGR2",0,0,0,3.24962829500981e-05,0
"EGR3",0,0,0,6.67298907872793e-05,0
"ELF1",0,0,0,2.71965678849931e-05,0
"EP300",0.00059208820705373,0,0,0.00230208315198469,0
"ERG",0,0,0,1.31398599343484e-05,0
"ESR1",0,0,0,7.69948764677387e-06,0
"ESR2",0,0,0,2.59693745031469e-05,0
"ETS1",0,0,0,4.31913991975932e-05,0
"ETS2",0,0,0,1.13533042901711e-05,0
"ETV2",-0.189329631275231,-0.36182126402611,0,0.673801709138119,-0.190231686480038
"ETV4",0,0,0,2.00082667860361e-05,0
"EWSR1",0,0,0,3.5048637556288e-05,0
"EZH2",0,0,0,4.47437713481836e-05,0
"FGFR1",0,0,0,3.37603222046105e-05,0
