"","estimate","2.5%","97.5%","margpp"
"intercept",-0.813280941495759,-1.62563111230466,-0.0888928914690684,1
"BRD9",0.297511395823566,0.20838464847141,0.38883797452449,0.999890105046231
"ETV2",-0.189329631275231,-0.36182126402611,0,0.673801709138119
"HEXIM1",-0.14416082988395,-0.279622653748148,0,0.846593741784613
"IRF4",0.0808120722863457,0,0.13374393516758,0.910781248124148
"MAX",-0.246412277828934,-0.344924653073106,-0.140938874329284,0.971786494445855
"MYC",0.096900358003397,0.0667803894927688,0.126245727415619,0.997743743530734
"MZF1",0.21826292481864,0.149497085576155,0.287083251078494,0.998159016945098
"ORC1",0.119806460806262,0,0.26903359129069,0.743150467702651
"RAG2",0.189448064565497,0.12753042448531,0.250822824766515,0.994075428003735
"RARA",-0.105830162939502,-0.222629397885855,0,0.750731023972593
"SMC3",0.255106870359014,0,0.370933058763245,0.894197744832072
"STAG1",-0.214805204776369,-0.36069012976606,0,0.867903728783028
"UBTF",0.234110301198346,0,0.468907620157415,0.790499251358602
"phi",0.994185610773709,0.925947833495356,1.06663631115922,1
